championship,season,round,event,circuit,f0_,f1_,elapsed_hour
FIAWEC,2014,7,SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,4300,363.22,6
FIAWEC,2014,8,BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,4633,362.389,6
FIAWEC,2014,9,INTERLAGOS,INTERLAGOS,5377,362.293,6
FIAWEC,2015,2,SILVERSTONE,SILVERSTONE,4767,362.467,6
FIAWEC,2015,3,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,5051,363.514,6
FIAWEC,2015,4,LE MANS,LE MANS,16105,1444.547,24
FIAWEC,2015,5,NURBURGRING,NURBURGRING,5434,363.202,6
FIAWEC,2015,6,CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,4927,362.294,6
FIAWEC,2015,7,FUJI SPEEDWAY,FUJI SPEEDWAY,6033,361.76,6
FIAWEC,2015,8,SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,4672,362.003,6
FIAWEC,2015,9,BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,5713,362.776,6
FIAWEC,2016,2,SILVERSTONE,SILVERSTONE,5305,362.854,6
FIAWEC,2016,3,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4606,366.354,6
FIAWEC,2016,4,LE MANS,LE MANS,18084,1448.447,24
FIAWEC,2016,5,NURBURGRING,NURBURGRING,5573,363.229,6
FIAWEC,2016,6,AUTODROMO HERMANOS RODRIGUEZ,AUTODROMO HERMANOS RODRIGUEZ,6187,364.376,6
FIAWEC,2016,7,CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,5052,363.496,6
FIAWEC,2016,8,FUJI SPEEDWAY,FUJI SPEEDWAY,6652,362.143,6
FIAWEC,2016,9,SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,5109,362.561,6
FIAWEC,2016,10,BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,5527,362.241,6
FIAWEC,2017,2,SILVERSTONE,SILVERSTONE,4635,362.105,6
FIAWEC,2017,3,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4613,362.317,6
FIAWEC,2017,4,LE MANS,LE MANS,18133,1445.199,24
FIAWEC,2017,6,AUTODROMO HERMANOS RODRIGUEZ,AUTODROMO HERMANOS RODRIGUEZ,5460,361.809,6
FIAWEC,2017,7,CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,4272,364.737,6
FIAWEC,2017,8,FUJI SPEEDWAY,FUJI SPEEDWAY,2747,266.899,4
FIAWEC,2017,9,SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,4353,362.798,6
FIAWEC,2017,10,BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,4596,363.208,6
FIAWEC,2018-2019,4,SILVERSTONE,SILVERSTONE,5608,362.662,6
FIAWEC,2018-2019,5,FUJI SPEEDWAY,FUJI SPEEDWAY,6601,362.095,6
FIAWEC,2018-2019,6,SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,3707,364.22,6
FIAWEC,2018-2019,7,SEBRING,SEBRING,7175,481.328,8
FIAWEC,2018-2019,8,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4232,345.489,6
FIAWEC,2018-2019,9,LE MANS,LE MANS,18765,1444.097,24
FIAWEC,2019-2020,2,SILVERSTONE,SILVERSTONE,3480,242.744,4
FIAWEC,2019-2020,3,FUJI SPEEDWAY,FUJI SPEEDWAY,6375,362.052,6
FIAWEC,2019-2020,4,SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,3526,242.937,4
FIAWEC,2019-2020,6,CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,5237,363.761,6
FIAWEC,2019-2020,7,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,3883,362.198,6
FIAWEC,2019-2020,8,LE MANS,LE MANS,17679,1446.005,24
FIAWEC,2019-2020,9,BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,5709,482.073,8
FIAWEC,2021,2,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4739,362.474,6
FIAWEC,2021,3,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,8582,481.908,8
FIAWEC,2021,4,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,6547,362.901,6
FIAWEC,2021,5,LE MANS,LE MANS,17771,1444.445,24
FIAWEC,2021,6,BAHRAIN INTERNATIONAL CIRCUIT 6 HOURS,BAHRAIN INTERNATIONAL CIRCUIT,5411,362.62,6
