,championship,season,round,event,circuit,f0_,f1_,elapsed_hour,event_key
53,ELMS,2022,7,4 hours of AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,4205,241.75,4,ELMS_2022_7
54,FIAWEC,2012,1,12 hours of SEBRING,SEBRING,7861,723.675,12,FIAWEC_2012_1
55,FIAWEC,2012,3,24 hours of LE MANS,LE MANS,14530,1448.753,24,FIAWEC_2012_3
56,FIAWEC,2012,4,6 hours of SILVERSTONE,SILVERSTONE,5981,362.499,6,FIAWEC_2012_4
57,FIAWEC,2012,5,6 hours of INTERLAGOS,INTERLAGOS,5906,362.585,6,FIAWEC_2012_5
58,FIAWEC,2012,8,6 hours of SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,4695,363.595,6,FIAWEC_2012_8
59,FIAWEC,2013,2,6 hours of SILVERSTONE,SILVERSTONE,5110,361.868,6,FIAWEC_2013_2
60,FIAWEC,2013,3,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4939,363.205,6,FIAWEC_2013_3
61,FIAWEC,2013,4,24 hours of LE MANS,LE MANS,15374,1446.62,24,FIAWEC_2013_4
62,FIAWEC,2013,5,6 hours of INTERLAGOS,INTERLAGOS,4761,363.07,6,FIAWEC_2013_5
63,FIAWEC,2013,7,6 hours of CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,4443,362.489,6,FIAWEC_2013_7
64,FIAWEC,2013,8,6 hours of FUJI SPEEDWAY,FUJI SPEEDWAY,460,178.457,3,FIAWEC_2013_8
65,FIAWEC,2013,9,6 hours of SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,4508,363.606,6,FIAWEC_2013_9
66,FIAWEC,2013,10,6 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,4008,363.238,6,FIAWEC_2013_10
67,FIAWEC,2014,2,5 hours of SILVERSTONE,SILVERSTONE,3426,325.215,5,FIAWEC_2014_2
68,FIAWEC,2014,3,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4252,363.749,6,FIAWEC_2014_3
69,FIAWEC,2014,4,24 hours of LE MANS,LE MANS,14471,1447.408,24,FIAWEC_2014_4
70,FIAWEC,2014,5,6 hours of CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,3997,364.067,6,FIAWEC_2014_5
71,FIAWEC,2014,6,6 hours of FUJI SPEEDWAY,FUJI SPEEDWAY,5559,362.212,6,FIAWEC_2014_6
72,FIAWEC,2014,7,6 hours of SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,4300,363.22,6,FIAWEC_2014_7
73,FIAWEC,2014,8,6 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,4633,362.389,6,FIAWEC_2014_8
74,FIAWEC,2014,9,6 hours of INTERLAGOS,INTERLAGOS,5377,362.293,6,FIAWEC_2014_9
75,FIAWEC,2015,2,6 hours of SILVERSTONE,SILVERSTONE,4767,362.467,6,FIAWEC_2015_2
76,FIAWEC,2015,3,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,5051,363.514,6,FIAWEC_2015_3
77,FIAWEC,2015,4,24 hours of LE MANS,LE MANS,16105,1444.547,24,FIAWEC_2015_4
78,FIAWEC,2015,5,6 hours of NURBURGRING,NURBURGRING,5434,363.202,6,FIAWEC_2015_5
79,FIAWEC,2015,6,6 hours of CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,4927,362.294,6,FIAWEC_2015_6
80,FIAWEC,2015,7,6 hours of FUJI SPEEDWAY,FUJI SPEEDWAY,6033,361.76,6,FIAWEC_2015_7
81,FIAWEC,2015,8,6 hours of SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,4672,362.003,6,FIAWEC_2015_8
82,FIAWEC,2015,9,6 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,5713,362.776,6,FIAWEC_2015_9
83,FIAWEC,2016,2,6 hours of SILVERSTONE,SILVERSTONE,5305,362.854,6,FIAWEC_2016_2
84,FIAWEC,2016,3,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4606,366.354,6,FIAWEC_2016_3
85,FIAWEC,2016,4,24 hours of LE MANS,LE MANS,18084,1448.447,24,FIAWEC_2016_4
86,FIAWEC,2016,5,6 hours of NURBURGRING,NURBURGRING,5573,363.229,6,FIAWEC_2016_5
87,FIAWEC,2016,6,6 hours of AUTODROMO HERMANOS RODRIGUEZ,AUTODROMO HERMANOS RODRIGUEZ,6187,364.376,6,FIAWEC_2016_6
88,FIAWEC,2016,7,6 hours of CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,5052,363.496,6,FIAWEC_2016_7
89,FIAWEC,2016,8,6 hours of FUJI SPEEDWAY,FUJI SPEEDWAY,6652,362.143,6,FIAWEC_2016_8
90,FIAWEC,2016,9,6 hours of SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,5109,362.561,6,FIAWEC_2016_9
91,FIAWEC,2016,10,6 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,5527,362.241,6,FIAWEC_2016_10
92,FIAWEC,2017,2,6 hours of SILVERSTONE,SILVERSTONE,4635,362.105,6,FIAWEC_2017_2
93,FIAWEC,2017,3,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4613,362.317,6,FIAWEC_2017_3
94,FIAWEC,2017,4,24 hours of LE MANS,LE MANS,18133,1445.199,24,FIAWEC_2017_4
